SIN ,Foundry Part Number ,Product Description,GSA Rate
132-8 ,RPS5 ,AC power supply for FWS4802 ,$770.13 
132-8 ,RPS5DC ,-48vDC power supply for FWS4802 ,"$1,002.34 "
132-8 ,E1MG-TX ,"1000BASE-TX MINI-GBIC COPPER, RJ-45 CONNECTOR ",$228.33 
132-8 ,E1MG-SX ,"1000Base-SX mini-GBIC optic, MMF, LC connector ",$344.43 
132-8 ,E1MTG-SX ,"1000Base-SX mini-GBIC optic, MMF, MTRJ connector ",$344.43 
132-8 ,E1MG-LX ,"1000Base-LX mini-GBIC optic, SMF, LC connector ",$770.13 
132-8 ,E1MG-LHA ,"1000Base-LHA mini-GBIC optic, SMF, LC connector ","$4,640.19 "
132-8 ,E1MG-LHB ,"1000Base-LHB mini-GBIC optic, SMF, LC connector, 150km Maximum reach ","$6,188.22 "
132-8 ,FI400 ,4-slot FastIron chassis with single AC power supply ,"$3,092.17 "
132-8 ,FI400-DC ,4-slot FastIron chassis with single -48vDC power supply ,"$5,027.20 "
132-8 ,FI400-S ,"4-slot FastIron SPARE chassis, NO power supply ","$1,931.16 "
132-8 ,FI800 ,8-slot FastIron chassis with one single AC power supply ,"$6,188.22 "
132-8 ,FI800-DC ,8-slot FastIron chassis with single -48vDC power supply ,"$8,123.25 "
132-8 ,FI800-S ,"8-slot FastIron SPARE chassis, NO power supply ","$5,027.20 "
132-8 ,FI1500 ,15-slot FastIron chassis with two (2) AC power supply ,"$9,284.26 "
132-8 ,FI1500-DC ,15-slot FastIron chassis with two (2) -48vDC power supply ,"$10,832.29 "
132-8 ,FI1500-S ,15-slot FastIron SPARE chassis. No power supplies. ,"$7,349.24 "
132-8 ,RPS3 ,Auto-switching (90-220v) AC power supply ,"$1,931.16 "
132-8 ,RPS3DC ,-48vDC power supply ,"$3,866.18 "
132-8 ,RPS4DC ,15-slot -48vDC power supply ,"$4,640.19 "
132-8 ,RPS4 ,15-slot auto-switching (90-220v) AC power supply ,"$3,866.18 "
132-8 ,FI3208RGC ,"32-port 100/1000Base-TX (RJ45) auto-sensing & 8-port mini-GBIC slots, and one open expansion slot ","$21,281.45 "
132-8 ,J-F24FX ,JetCore 24-port 100BaseFX for FastIron 400/800/1500 (multimode) ,"$7,183.66 "
132-8 ,J-F24FX-SR ,JetCore 24-port 100BaseFX for FastIron 400/800/1500 (15km) ,"$12,214.73 "
132-8 ,J-F24FX-IR ,JetCore 24-port 100BaseFX for FastIron 400/800/1500 (25km) ,"$15,808.36 "
132-8 ,J-F48E ,48-port 10/100Base-TX (RJ45) double-wide FastIron JetCore module ,"$4,640.19 "
132-8 ,J-F48T ,48-port 10/100Base-TX (RJ21-Female) Telco FastIron JetCore module ,"$5,801.22 "
132-8 ,J-FxG ,8-port 1000Base-X (mini-GBIC) FastIron JetCore module ,"$6,575.23 "
132-8 ,J-F16GC ,16-port 100/1000Base-T (RJ45) FastIron JetCore module ,"$7,736.24 "
132-8 ,J-F16Gx ,16-port 1000Base-X (mini-GBIC) FastIron JetCore module ,"$9,284.26 "
132-8 ,E1MG-TX ,"1000BASE-TX MINI-GBIC COPPER, RJ-45 CONNECTOR ",$228.33 
132-8 ,E1MG-SX ,"1000Base-SX mini-GBIC optic, MMF, LC connector ",$344.43 
132-8 ,E1MTG-SX ,"1000Base-SX mini-GBIC optic, MMF, MTRJ connector ",$344.43 
132-8 ,E1MG-LX ,"1000Base-LX mini-GBIC optic, SMF, LC connector ",$770.13 
132-8 ,E1MG-LHA ,"1000Base-LHA mini-GBIC optic, SMF, LC connector ","$4,640.19 "
132-8 ,E1MG-LHB ,"1000Base-LHB mini-GBIC optic, SMF, LC connector, 150km Maximum reach ","$6,188.22 "
132-8 ,E1MG-CWDM80-1470 ,"CWDM mini-GBIC optic, 80Km, 1470nm, LC connector ","$3,866.18 "
132-8 ,E1MG-CWDM80-1490 ,"CWDM mini-GBIC optic, 80Km, 1490nm, LC connector ","$3,866.18 "
132-8 ,E1MG-CWDM80-1510 ,"CWDM mini-GBIC optic, 80Km, 1510nm, LC connector ","$3,866.18 "
132-8 ,E1MG-CWDM80-1530 ,"CWDM mini-GBIC optic, 80Km, 1530nm, LC connector ","$3,866.18 "
132-8 ,E1MG-CWDM80-1550 ,"CWDM mini-GBIC optic, 80Km, 1550nm, LC connector ","$3,866.18 "
132-8 ,E1MG-CWDM80-1570 ,"CWDM mini-GBIC optic, 80Km, 1570nm, LC connector ","$3,866.18 "
132-8 ,E1MG-CWDM80-1590 ,"CWDM mini-GBIC optic, 80Km, 1590nm, LC connector ","$3,866.18 "
132-8 ,E1MG-CWDM80-1610 ,"CWDM mini-GBIC optic, 80Km, 1610nm, LC connector ","$3,866.18 "
132-8 ,F10Gx-SR ,1-port 10GBase-SR (SC) for 50 or 62.5µm MMF FastIron JetCore module - supports distances up to 300m ,"$11,219.30 "
132-8 ,F10Gx-LR ,1-port 10GBase-LR (SC) for 9 or 10µm SMF FastIron JetCore module - supports distances of up to 10km ,"$11,606.30 "
132-8 ,F10Gx-ER ,1-port 10GBase-ER (SC) for 9 or 10µm SMF FastIron JetCore module - supports distances of up to 40km ,"$17,024.38 "
132-8 ,F10Gx1 ,"1-port 10Gigabit Ethernet base module for BigIron systems requires optics. Select 10G-XNPK-SR, 10G-XNPK-LR or 10G-XNPK-ER ","$15,476.36 "
132-8 ,F10Gx2 ,"2-port 10Gigabit Ethernet base module for FastIron systems requires optics. Select10G-XNPK-SR, 10G-XNPK-LR or 10G-XNPK-ER ","$23,216.48 "
132-8 ,10G-XNPK-SR ,"850nm serial XENPAK plug-in transceiver (SC), target range of 300m over MMF ","$2,705.17 "
132-8 ,10G-XNPK-LR ,1310nm serial plugable XENPAK optic only (SC) for up to 10km over SMF ,"$3,866.18 "
132-8 ,10G-XNPK-ER ,1550nm serial plugable XENPAK optic only (SC) for up to 40km over SMF ,"$9,284.26 "
132-8 ,J-FxGMR4 ,8-port 1000Base-X (mini-GBIC) rate limiting enabled redundant FastIron JetCore management module ,"$6,962.23 "
132-8 ,J-F2404GMR4 ,24-port 10/100Base-TX (RJ45) & with 4-port 1000Base-X (mini-GBIC) or 4 -port 1000Base-T (RJ45) rate limiting enabled FastIron JetCore management module ,"$6,188.22 "
132-8 ,J-FIL3U-4 ,FastIron 400 Layer 3 Upgrade (PROM and software) ,"$2,483.74 "
132-8 ,J-FIL3U-8 ,FastIron 400/800 Layer 3 Upgrade (PROM and software) ,"$5,800.93 "
132-8 ,J-FIL3U-15 ,FastIron 400/800/1500 Layer 3 Upgrade (PROM and software) ,"$8,288.83 "
132-8 ,BIMG8-AC ,"BigIron MG8 8-slot chassis with fan (2), fan filter (1), Switch Fabric Module, RPS rack, AC power supplies (3), and PS relay (2), fan controller (2), management module panel (2), and interface module panels (8). ","$29,408.57 "
,,"panel (2), and interface module panels (8). ",
132-8 ,BIMG8-MR ,BigIron MG8 Management Module ,"$5,027.20 "
132-8 ,BIMG8-10Gx4 ,BigIron MG8 4-Port 10GbE Module ,"$38,696.71 "
132-8 ,10G-XNPK-SR ,"850nm serial XENPAK plug-in transceiver (SC), target range of 300m over MMF ","$2,705.17 "
132-8 ,10G-XNPK-LR ,1310nm serial plugable XENPAK optic only (SC) for up to 10km over SMF ,"$3,866.18 "
132-8 ,10G-XNPK-ER ,1550nm serial plugable XENPAK optic only (SC) for up to 40km over SMF ,"$9,284.26 "
132-8 ,BIMG8-DC-CHS ,"BigIron MG8 8-slot chassis with fan (2), fan controller (2), fan filter (1), management module panel (2) and interface module panel (8) ","$12,380.31 "
132-8 ,BIMG8-AC-CHS ,"BigIron MG8 8-slot chassis with fan (2), fan controller (2), fan filter (1), management module panel (2), interface module panel (8) and AC power supply shelf ","$13,154.32 "
132-8 ,BIMG8-FAN ,"BigIron MG8 Fan Assembly, includes fan and fan controller ","$1,157.14 "
132-8 ,BIMG8-FLTR ,BigIron MG8 Air filter 40ppi ,$96.75 
132-8 ,BIMG8-ACPWR ,BigIron MG8 AC power supply ,"$3,092.17 "
132-8 ,BIMG8-IPNL ,BigIron MG8 Interface Slot-panel ,$139.32 
132-8 ,BIMG8-MPNL ,BigIron MG8 Management Slot-panel ,$139.32 
132-8 ,BIMG8-SFM ,BigIron MG8 Switch Fabric Module ,"$14,702.35 "
132-8 ,B4000 ,4-slot BigIron chassis with single AC power supply ,"$2,871.30 "
132-8 ,B4000-DC ,4-slot BigIron chassis with single -48vDC power supply ,"$4,668.12 "
132-8 ,B4000-S ,"4-slot BigIron SPARE chassis, NO power supply ","$1,793.22 "
132-8 ,B8000 ,8-slot BigIron chassis with one single AC power supply ,"$5,746.21 "
132-8 ,B8000-DC ,8-slot BigIron chassis with single -48vDC power supply ,"$7,543.02 "
132-8 ,B8000-S ,"8-slot BigIron SPARE chassis, NO power supply ","$4,668.12 "
132-8 ,B15000 ,15-slot BigIron chassis with two (2) AC power supply ,"$8,621.11 "
132-8 ,B15000-DC ,15-slot BigIron chassis with two (2) -48vDC power supply ,"$10,058.56 "
132-8 ,B15000-S ,15-slot BigIron SPARE chassis. No power supplies. ,"$6,824.29 "
132-8 ,RPS3 ,Auto-switching (90-220v) AC power supply ,"$1,931.16 "
132-8 ,RPS3DC ,-48vDC power supply ,"$3,866.18 "
132-8 ,RPS4 ,BigIron 1500 auto-switching (90-220v) AC power supply ,"$3,866.18 "
132-8 ,RPS4DC ,BigIron 15000 -48vDC power supply ,"$4,640.19 "
132-8 ,J-B24FX ,JetCore 24-port 100BaseFX for FastIron 400/800/1500 (multimode) ,"$10,777.28 "
132-8 ,J-B24FX-SR ,JetCore 24-port 100BaseFX for FastIron 400/800/1500 (15km) ,"$14,370.91 "
132-8 ,J-B24FX-IR ,JetCore 24-port 100BaseFX for FastIron 400/800/1500 (25km) ,"$17,964.53 "
132-8 ,J-B48E ,48-port 10/100Base-TX (RJ45) double-wide BigIron JetCore module ,"$6,464.93 "
132-8 ,J-B48T ,48-port 10/100Base-TX (RJ21-Female) Telco BigIron JetCore module ,"$7,543.02 "
132-8 ,J-BxG ,8-port 1000Base-X (mini-GBIC) BigIron JetCore module ,"$7,183.66 "
132-8 ,J-B16GC ,16-port 100/1000Base-T (RJ45) BigIron JetCore module ,"$9,339.83 "
132-8 ,J-B16Gx ,16-port 1000Base-X (mini-GBIC) BigIron JetCore module ,"$11,496.01 "
132-8 ,E1MG-TX ,"1000BASE-TX MINI-GBIC COPPER, RJ-45 CONNECTOR ",$228.33 
132-8 ,E1MG-SX ,"1000Base-SX mini-GBIC optic, MMF, LC connector ",$344.43 
132-8 ,E1MTG-SX ,"1000Base-SX mini-GBIC optic, MMF, MTRJ connector ",$344.43 
132-8 ,E1MG-LX ,"1000Base-LX mini-GBIC optic, SMF, LC connector ",$770.13 
132-8 ,E1MG-LHA ,"1000Base-LHA mini-GBIC optic, SMF, LC connector ","$4,640.19 "
132-8 ,E1MG-LHB ,"1000Base-LHB mini-GBIC optic, SMF, LC connector, 150km Maximum reach ","$6,188.22 "
132-8 ,E1MG-CWDM80-1470 ,"CWDM mini-GBIC optic, 80Km, 1470nm, LC connector ","$3,866.18 "
132-8 ,E1MG-CWDM80-1490 ,"CWDM mini-GBIC optic, 80Km, 1490nm, LC connector ","$3,866.18 "
132-8 ,E1MG-CWDM80-1510 ,"CWDM mini-GBIC optic, 80Km, 1510nm, LC connector ","$3,866.18 "
132-8 ,E1MG-CWDM80-1530 ,"CWDM mini-GBIC optic, 80Km, 1530nm, LC connector ","$3,866.18 "
132-8 ,E1MG-CWDM80-1550 ,"CWDM mini-GBIC optic, 80Km, 1550nm, LC connector ","$3,866.18 "
132-8 ,E1MG-CWDM80-1570 ,"CWDM mini-GBIC optic, 80Km, 1570nm, LC connector ","$3,866.18 "
132-8 ,E1MG-CWDM80-1590 ,"CWDM mini-GBIC optic, 80Km, 1590nm, LC connector ","$3,866.18 "
132-8 ,E1MG-CWDM80-1610 ,"CWDM mini-GBIC optic, 80Km, 1610nm, LC connector ","$3,866.18 "
132-8 ,B10Gx-SR ,1-port 10GBase-SR (SC) for 50 or 62.5µm MMF BigIron JetCore module - supports distances up to 300m ,"$10,417.92 "
132-8 ,B10Gx-LR ,1-port 10GBase-LR (SC) for 9 or 10µm SMF BigIron JetCore module - supports distances of up to 10km ,"$10,777.28 "
132-8 ,B10Gx-ER ,1-port 10GBase-ER (SC) for 9 or 10µm SMF BigIron JetCore module - supports distances of up to 40km ,"$15,808.36 "
132-8 ,B10Gx1 ,"1-port 10Gigabit Ethernet base module for BigIron systems requires optics. Select 10G-XNPK-SR, 10G-XNPK-LR or 10G-XNPK-ER ","$15,476.36 "
132-8 ,B10Gx2 ,"2-port 10Gigabit Ethernet base module for BigIron systems requires optics. Select10G-XNPK-SR, 10G-XNPK-LR or 10G-XNPK-ER ","$23,216.48 "
132-8 ,J-BxGMR4 ,8-port 1000Base-X (mini-GBIC) redundant BigIron JetCore management module ,"$8,621.11 "
132-8 ,E1MG-TX ,"1000BASE-TX MINI-GBIC COPPER, RJ-45 CONNECTOR ",$228.33 
132-8 ,E1MG-SX ,"1000Base-SX mini-GBIC optic, MMF, LC connector ",$344.43 
132-8 ,E1MTG-SX ,"1000Base-SX mini-GBIC optic, MMF, MTRJ connector ",$344.43 
132-8 ,E1MG-LX ,"1000Base-LX mini-GBIC optic, SMF, LC connector ",$770.13 
132-8 ,E1MG-LHA ,"1000Base-LHA mini-GBIC optic, SMF, LC connector ","$4,640.19 "
132-8 ,E1MG-LHB ,"1000Base-LHB mini-GBIC optic, SMF, LC connector, 150km Maximum reach ","$6,188.22 "
132-8 ,E1MG-CWDM80-1470 ,"CWDM mini-GBIC optic, 80Km, 1470nm, LC connector ","$3,866.18 "
132-8 ,E1MG-CWDM80-1490 ,"CWDM mini-GBIC optic, 80Km, 1490nm, LC connector ","$3,866.18 "
132-8 ,E1MG-CWDM80-1510 ,"CWDM mini-GBIC optic, 80Km, 1510nm, LC connector ","$3,866.18 "
132-8 ,E1MG-CWDM80-1530 ,"CWDM mini-GBIC optic, 80Km, 1530nm, LC connector ","$3,866.18 "
132-8 ,E1MG-CWDM80-1550 ,"CWDM mini-GBIC optic, 80Km, 1550nm, LC connector ","$3,866.18 "
132-8 ,E1MG-CWDM80-1570 ,"CWDM mini-GBIC optic, 80Km, 1570nm, LC connector ","$3,866.18 "
132-8 ,E1MG-CWDM80-1590 ,"CWDM mini-GBIC optic, 80Km, 1590nm, LC connector ","$3,866.18 "
132-8 ,E1MG-CWDM80-1610 ,"CWDM mini-GBIC optic, 80Km, 1610nm, LC connector ","$3,866.18 "
132-8 ,BxG-A ,8-port 1000Base-X (mini-GBIC) BigIron IronCore module ,"$5,386.84 "
132-8 ,B2G-A ,2-port 1000Base-SX (SC) for 50 or 62.5µm MMF BigIron IronCore module ,"$3,590.02 "
132-8 ,B4G-A ,4-port 1000Base-SX (SC) for 50 or 62.5µm MMF BigIron IronCore module ,"$4,308.76 "
132-8 ,B8G-A ,8-port 1000Base-SX (SC) for 50 or 62.5µm MMF BigIron IronCore module ,"$5,386.84 "
132-8 ,B8G-A-2LX ,6-port 1000Base-SX (SC) for 50 or 62.5µm MMF & 2-port 1000Base-LX SC for 9 or 10µm SMF BigIron IronCore module ,"$6,177.44 "
132-8 ,B8G-A-4LX ,4-port 1000Base-SX (SC) for 50 or 62.5µm MMF & 4-port 1000Base-LX SC for 9 or 10µm SMF BigIron IronCore module ,"$6,968.04 "
132-8 ,B8G-A-8LX ,8-port 1000Base-LX SC for 9 or 10µm SMF BigIron IronCore module ,"$7,758.64 "
132-8 ,B8GC ,8-port 1000Base-T (RJ45) BigIron IronCore module ,"$5,386.84 "
132-8 ,B24E-A ,24-port 10/100Base-TX (RJ45) BigIron IronCore module ,"$4,668.12 "
132-8 ,B24FX ,24-port 100Base-FX (MTRJ) for 50 or 62.5µm MMF BigIron IronCore module ,"$7,183.66 "
132-8 ,B10Gx-LR ,1-port 10GBase-LR (SC) for 9 or 10µm SMF BigIron JetCore module - supports distances of up to 10km ,"$10,777.28 "
132-8 ,B10Gx-ER ,1-port 10GBase-ER (SC) for 9 or 10µm SMF BigIron JetCore module - supports distances of up to 40km ,"$15,808.36 "
132-8 ,B10Gx1 ,"1-port 10Gigabit Ethernet base module for BigIron systems requires optics. Select10G-XNPK-SR, 10G-XNPK-LR or 10G-XNPK-ER ","$15,476.36 "
132-8 ,B10Gx2 ,"2-port 10Gigabit Ethernet base module for BigIron systems requires optics. Select10G-XNPK-SR, 10G-XNPK-LR or 10G-XNPK-ER ","$23,216.48 "
132-8 ,10G-XNPK-SR ,"850nm serial XENPAK plug-in transceiver (SC), target range of 300m over MMF ","$2,705.17 "
132-8 ,10G-XNPK-LR ,1310nm serial plugable XENPAK optic only (SC) for up to 10km over SMF ,"$3,866.18 "
132-8 ,10G-XNPK-ER ,1550nm serial plugable XENPAK optic only (SC) for up to 40km over SMF ,"$9,284.26 "
132-8 ,LHA ,1-port 1000Base-LongHaul (SC) series A Gigabit uplink for 70km maximum reach with 9 or 10µm SMF and minimum 10dB attenuation - specify SX to LHx upgrade quantities. ,"$4,640.19 "
132-8 ,LHB ,1-port 1000Base-LongHaul (SC) series B Gigabit uplink for 150km maximum reach with 9 or 10µm SMF and minimum 10dB attenuation - specify SX to LHx upgrade quantities. ,"$6,188.22 "
132-8 ,E1MG-TX ,"1000BASE-TX MINI-GBIC COPPER, RJ-45 CONNECTOR ",$228.33 
132-8 ,E1MG-SX ,"1000Base-SX mini-GBIC optic, MMF, LC connector ",$344.43 
132-8 ,E1MTG-SX ,"1000Base-SX mini-GBIC optic, MMF, MTRJ connector ",$344.43 
132-8 ,E1MG-LX ,"1000Base-LX mini-GBIC optic, SMF, LC connector ",$770.13 
132-8 ,E1MG-LHA ,"1000Base-LHA mini-GBIC optic, SMF, LC connector ","$4,640.19 "
132-8 ,E1MG-LHB ,"1000Base-LHB mini-GBIC optic, SMF, LC connector, 150km Maximum reach ","$6,188.22 "
132-8 ,B8GCMR ,8-port 1000Base-T (RJ45) redundant BigIron IronCore management II module ,"$5,386.84 "
132-8 ,BZGMR3-A ,0-port redundant BigIron IronCore management III module ,"$5,386.84 "
132-8 ,B8GMR3-A ,8-port 1000Base-SX (SC) for 50 or 62.5µm MMF redundant BigIron IronCore management III module ,"$6,464.93 "
132-8 ,B8GMR3-A-2LX ,6-port 1000Base-SX (SC) for 50 or 62.5µm MMF & 2-port 1000Base-LX SC for 9 or 10µm SMF redundant BigIron IronCore management III module ,"$7,255.53 "
132-8 ,B8GMR3-A-4LX ,4-port 1000Base-SX (SC) for 50 or 62.5µm MMF & 4-port 1000Base-LX SC for 9 or 10µm SMF redundant BigIron IronCore management III module ,"$8,046.13 "
132-8 ,B8GMR3-A-8LX ,8-port 1000Base-LX SC for 9 or 10µm SMF redundant BigIron IronCore management III module ,"$8,836.72 "
132-8 ,BxGMR4-A ,8-port 1000Base-X (mini-GBIC) redundant BigIron IronCore management module ,"$7,183.66 "
132-8 ,M4RZG ,0-port redundant BigIron IronCore management module with two (2) PCMCIA Type II slots ,"$12,214.73 "
132-8 ,M4R4G ,4-port 1000Base-X (GBIC) redundant BigIron IronCore management module with two (2) PCMCIA Type II slots ,"$13,652.18 "
132-8 ,FLASH-ISP ,80 MB memory flash card for M4RZG & M4R4G module ,$571.38 
132-8 ,E1G-SX ,"1000Base-SX GBIC optic, MMF, SC connector ",$383.13 
132-8 ,E1G-LX ,"1000Base-LX GBIC optic, SMF, SC connector ",$770.13 
132-8 ,E1G-LH ,"1000Base-LH A-series, GBIC optic, SMF, SC connector (70km) ","$4,640.19 "
132-8 ,BMR256-FC ,256MB SDRAM - FACTORY CONFIGURED - M2/3 Only ,"$1,074.49 "
132-8 ,BMR512-FC ,512MB SDRAM option - FACTORY CONFIGURED - M4 Only ,"$1,433.85 "
132-8 ,BMR512-FRU ,512MB SDRAM option - FIELD REPLACEABLE - for M4 only ,"$1,544.14 "
132-8 ,VM-1 ,BigIron Velocity Management module (Zero-ports) ,"$25,151.78 "
132-8 ,NI4802 ,"NetIron 4802 with 48 10/100 Base-T and 2 mini-GBIC slots, and Full Layer 3 SW that includes IPv6. ","$11,606.30 "
132-8 ,NI4802-DC ,"NetIron 4802 with 48 10/100 Base-T and 2 mini-GBIC slots, and Full Layer 3 SW that includes IPv6. ","$13,541.33 "
132-8 ,E1MG-SX ,"1000Base-SX mini-GBIC optic, MMF, LC connector ",$344.43 
132-8 ,E1MTG-SX ,"1000Base-LX mini-GBIC optic, MMF, MTRJ connector ",$344.43 
132-8 ,E1MG-LX ,"1000Base-LX mini-GBIC optic, SMF, LC connector ",$770.13 
132-8 ,E1MG-LHA ,"1000Base-LHA mini-GBIC optic, SMF, LC ","$4,640.19 "
132-8 ,E1MG-LHB ,"1000Base-LHB mini-GBIC optic, SMF, LC connector, 150km Maximum reach ","$6,188.22 "
132-8 ,RPS5 ,AC power supply for FastIron Edge Switch Family ,$770.13 
